IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.45.219,4,2,0.50,175.57,0.00
104.25.170.185,4,2,0.50,175.65,0.00
104.24.89.235,4,2,0.50,175.70,0.00
104.24.82.37,4,2,0.50,175.71,0.00
104.21.68.2,4,2,0.50,175.72,0.00
104.25.205.140,4,2,0.50,175.83,0.00
104.19.240.166,4,2,0.50,175.86,0.00
172.67.194.1,4,2,0.50,175.90,0.00
104.21.199.115,4,2,0.50,175.93,0.00
104.25.46.14,4,2,0.50,176.00,0.00
104.25.157.136,4,2,0.50,176.04,0.00
104.24.36.20,4,2,0.50,176.15,0.00
172.67.220.82,4,2,0.50,176.18,0.00
104.20.222.174,4,2,0.50,176.22,0.00
104.21.58.39,4,2,0.50,176.25,0.00
104.25.146.5,4,2,0.50,176.26,0.00
104.27.79.37,4,2,0.50,176.46,0.00
104.20.159.145,4,2,0.50,176.56,0.00
104.22.74.8,4,2,0.50,176.57,0.00
104.21.12.139,4,2,0.50,176.57,0.00
104.24.236.141,4,2,0.50,176.58,0.00
104.21.28.183,4,2,0.50,176.59,0.00
104.16.19.73,4,2,0.50,176.59,0.00
104.18.221.59,4,2,0.50,176.63,0.00
104.24.206.110,4,2,0.50,176.65,0.00
104.20.162.141,4,2,0.50,176.71,0.00
104.25.83.43,4,2,0.50,176.84,0.00
104.22.47.40,4,2,0.50,176.90,0.00
104.22.7.130,4,2,0.50,176.98,0.00
104.27.98.115,4,2,0.50,177.07,0.00
104.27.51.118,4,2,0.50,177.08,0.00
104.24.215.195,4,2,0.50,177.13,0.00
104.19.180.211,4,2,0.50,177.25,0.00
104.25.221.80,4,2,0.50,177.29,0.00
172.64.201.40,4,2,0.50,177.33,0.00
104.18.63.140,4,2,0.50,177.42,0.00
104.19.171.239,4,2,0.50,177.43,0.00
104.25.141.56,4,2,0.50,177.45,0.00
172.67.111.48,4,2,0.50,177.50,0.00
104.21.101.207,4,2,0.50,177.57,0.00
172.66.133.229,4,2,0.50,177.62,0.00
104.24.61.240,4,2,0.50,177.63,0.00
104.25.75.101,4,2,0.50,177.64,0.00
104.25.80.28,4,2,0.50,177.66,0.00
104.19.185.84,4,2,0.50,177.89,0.00
104.21.87.36,4,2,0.50,178.00,0.00
104.18.220.79,4,2,0.50,178.36,0.00
104.25.103.35,4,2,0.50,178.40,0.00
104.25.84.217,4,2,0.50,178.43,0.00
104.20.88.160,4,2,0.50,178.50,0.00
104.16.174.98,4,2,0.50,178.52,0.00
104.21.117.93,4,2,0.50,178.53,0.00
104.21.7.157,4,2,0.50,178.55,0.00
104.24.23.253,4,2,0.50,178.55,0.00
104.19.144.56,4,2,0.50,178.66,0.00
104.20.154.237,4,2,0.50,178.67,0.00
104.19.246.25,4,2,0.50,178.68,0.00
104.27.71.158,4,2,0.50,178.70,0.00
104.24.187.99,4,2,0.50,178.76,0.00
104.21.89.226,4,2,0.50,178.83,0.00
104.22.73.211,4,2,0.50,178.84,0.00
104.22.31.159,4,2,0.50,178.87,0.00
104.20.202.9,4,2,0.50,178.90,0.00
104.20.152.42,4,2,0.50,178.91,0.00
104.21.96.101,4,2,0.50,178.93,0.00
104.25.177.128,4,2,0.50,179.27,0.00
104.25.176.219,4,2,0.50,179.29,0.00
104.25.144.110,4,2,0.50,179.32,0.00
104.24.247.75,4,2,0.50,179.42,0.00
104.27.70.16,4,2,0.50,179.45,0.00
104.24.132.14,4,2,0.50,179.46,0.00
104.25.107.164,4,2,0.50,179.46,0.00
104.18.219.171,4,2,0.50,179.49,0.00
104.25.129.71,4,2,0.50,179.56,0.00
104.21.10.54,4,2,0.50,179.59,0.00
172.65.92.96,4,2,0.50,179.59,0.00
104.27.205.168,4,2,0.50,179.61,0.00
104.25.130.147,4,2,0.50,179.62,0.00
104.18.222.25,4,2,0.50,179.72,0.00
104.19.241.138,4,2,0.50,179.72,0.00
104.24.129.148,4,2,0.50,179.77,0.00
104.21.109.131,4,2,0.50,179.84,0.00
104.18.218.204,4,2,0.50,179.84,0.00
104.22.65.228,4,2,0.50,179.87,0.00
172.65.50.62,4,2,0.50,179.88,0.00
104.21.71.46,4,2,0.50,179.92,0.00
104.27.87.195,4,2,0.50,179.94,0.00
104.19.176.21,4,2,0.50,179.96,0.00
104.21.70.128,4,2,0.50,180.07,0.00
104.24.135.192,4,2,0.50,180.10,0.00
172.64.82.13,4,2,0.50,180.10,0.00
172.65.101.234,4,2,0.50,180.13,0.00
104.25.111.77,4,2,0.50,180.17,0.00
172.67.103.88,4,2,0.50,180.20,0.00
104.20.148.63,4,2,0.50,180.32,0.00
104.18.217.214,4,2,0.50,180.34,0.00
104.25.237.51,4,2,0.50,180.47,0.00
104.25.160.114,4,2,0.50,180.52,0.00
104.25.199.150,4,2,0.50,180.52,0.00
104.25.198.131,4,2,0.50,180.54,0.00
172.66.136.227,4,2,0.50,180.56,0.00
104.24.35.230,4,2,0.50,180.66,0.00
172.65.171.129,4,2,0.50,180.70,0.00
104.23.117.192,4,2,0.50,180.79,0.00
104.25.40.250,4,2,0.50,180.79,0.00
104.24.134.145,4,2,0.50,180.85,0.00
104.25.41.231,4,2,0.50,180.86,0.00
104.24.208.127,4,2,0.50,180.86,0.00
104.21.23.150,4,2,0.50,180.86,0.00
104.27.20.240,4,2,0.50,180.87,0.00
104.24.128.230,4,2,0.50,180.92,0.00
104.25.39.205,4,2,0.50,180.95,0.00
104.21.2.17,4,2,0.50,181.03,0.00
172.64.103.18,4,2,0.50,181.04,0.00
104.21.104.218,4,2,0.50,181.07,0.00
104.27.85.20,4,2,0.50,181.07,0.00
104.24.242.113,4,2,0.50,181.08,0.00
104.24.246.55,4,2,0.50,181.16,0.00
104.27.123.155,4,2,0.50,181.20,0.00
104.27.91.213,4,2,0.50,181.25,0.00
104.18.108.65,4,2,0.50,181.26,0.00
104.27.15.49,4,2,0.50,181.26,0.00
104.21.0.29,4,2,0.50,181.31,0.00
104.27.11.106,4,2,0.50,181.36,0.00
104.21.14.3,4,2,0.50,181.42,0.00
104.27.45.234,4,2,0.50,181.42,0.00
104.24.210.228,4,2,0.50,181.43,0.00
104.27.81.154,4,2,0.50,181.45,0.00
104.27.84.172,4,2,0.50,181.46,0.00
172.64.137.217,4,2,0.50,181.50,0.00
104.21.86.29,4,2,0.50,181.62,0.00
104.25.38.248,4,2,0.50,181.68,0.00
104.25.63.225,4,2,0.50,181.73,0.00
104.24.19.207,4,2,0.50,181.73,0.00
104.18.135.45,4,2,0.50,181.82,0.00
104.18.208.56,4,2,0.50,181.89,0.00
104.24.255.251,4,2,0.50,181.91,0.00
104.20.160.94,4,2,0.50,181.92,0.00
104.21.3.101,4,2,0.50,181.94,0.00
104.25.192.144,4,2,0.50,181.94,0.00
104.20.167.112,4,2,0.50,181.96,0.00
104.19.204.188,4,2,0.50,181.98,0.00
104.24.233.96,4,2,0.50,181.99,0.00
104.24.12.130,4,2,0.50,182.00,0.00
104.20.150.202,4,2,0.50,182.01,0.00
104.24.137.2,4,2,0.50,182.10,0.00
104.23.124.105,4,2,0.50,182.10,0.00
104.20.158.14,4,2,0.50,182.30,0.00
104.18.64.12,4,2,0.50,182.35,0.00
104.19.190.111,4,2,0.50,182.38,0.00
104.20.254.97,4,2,0.50,182.54,0.00
104.24.131.177,4,2,0.50,182.60,0.00
104.25.209.106,4,2,0.50,182.65,0.00
104.25.197.92,4,2,0.50,182.68,0.00
104.22.79.2,4,2,0.50,182.73,0.00
104.24.204.23,4,2,0.50,182.77,0.00
104.20.153.252,4,2,0.50,182.87,0.00
104.23.113.112,4,2,0.50,182.87,0.00
104.24.143.166,4,2,0.50,182.97,0.00
104.25.202.96,4,2,0.50,183.00,0.00
104.25.72.53,4,2,0.50,183.07,0.00
104.20.38.210,4,2,0.50,183.08,0.00
104.24.230.63,4,2,0.50,183.27,0.00
104.18.29.143,4,2,0.50,183.43,0.00
104.24.139.89,4,2,0.50,183.44,0.00
104.20.44.80,4,2,0.50,183.46,0.00
104.19.87.166,4,2,0.50,183.48,0.00
104.20.92.122,4,2,0.50,183.49,0.00
104.20.93.19,4,2,0.50,183.50,0.00
104.27.35.140,4,2,0.50,183.53,0.00
104.20.127.75,4,2,0.50,183.56,0.00
104.25.79.98,4,2,0.50,183.64,0.00
104.20.126.246,4,2,0.50,183.74,0.00
104.20.157.96,4,2,0.50,183.76,0.00
104.20.132.10,4,2,0.50,183.86,0.00
104.18.62.92,4,2,0.50,183.90,0.00
104.24.68.52,4,2,0.50,184.06,0.00
104.25.61.126,4,2,0.50,184.13,0.00
104.24.157.141,4,2,0.50,184.19,0.00
104.20.149.141,4,2,0.50,184.27,0.00
104.24.228.180,4,2,0.50,184.42,0.00
104.24.8.99,4,2,0.50,184.50,0.00
104.25.48.90,4,2,0.50,184.52,0.00
104.17.10.78,4,2,0.50,184.54,0.00
172.64.160.192,4,2,0.50,184.64,0.00
104.19.199.124,4,2,0.50,184.86,0.00
104.18.223.45,4,2,0.50,184.91,0.00
104.19.181.139,4,2,0.50,184.93,0.00
104.23.123.88,4,2,0.50,184.95,0.00
104.25.131.19,4,2,0.50,185.06,0.00
104.19.206.221,4,2,0.50,185.26,0.00
104.24.53.123,4,2,0.50,185.27,0.00
104.19.64.151,4,2,0.50,185.28,0.00
104.24.10.113,4,2,0.50,185.45,0.00
104.25.207.224,4,2,0.50,185.47,0.00
104.21.4.39,4,2,0.50,185.64,0.00
104.22.75.132,4,2,0.50,185.72,0.00
104.25.132.254,4,2,0.50,185.79,0.00
104.24.6.82,4,2,0.50,185.81,0.00
172.64.94.182,4,2,0.50,185.87,0.00
104.18.251.101,4,2,0.50,185.88,0.00
104.27.57.162,4,2,0.50,185.90,0.00
104.21.1.34,4,2,0.50,185.94,0.00
104.20.134.89,4,2,0.50,185.95,0.00
104.25.112.232,4,2,0.50,185.98,0.00
104.20.125.217,4,2,0.50,186.01,0.00
104.21.110.8,4,2,0.50,186.17,0.00
104.21.60.112,4,2,0.50,186.21,0.00
104.24.24.93,4,2,0.50,186.37,0.00
104.24.227.246,4,2,0.50,186.46,0.00
104.22.77.186,4,2,0.50,186.53,0.00
104.20.79.68,4,2,0.50,186.55,0.00
104.21.206.81,4,2,0.50,186.68,0.00
104.20.155.235,4,2,0.50,186.87,0.00
104.21.105.88,4,2,0.50,187.22,0.00
104.21.6.146,4,2,0.50,187.30,0.00
104.25.10.13,4,2,0.50,187.40,0.00
104.18.48.84,4,2,0.50,187.49,0.00
104.17.95.94,4,2,0.50,187.80,0.00
104.24.186.127,4,2,0.50,187.82,0.00
104.24.225.186,4,2,0.50,187.86,0.00
104.24.199.71,4,2,0.50,187.87,0.00
104.24.26.164,4,2,0.50,188.01,0.00
104.21.15.23,4,2,0.50,188.10,0.00
104.18.55.244,4,2,0.50,188.18,0.00
172.64.165.155,4,2,0.50,188.29,0.00
104.18.41.125,4,2,0.50,188.32,0.00
104.20.182.183,4,2,0.50,188.42,0.00
104.17.162.228,4,2,0.50,188.42,0.00
104.27.193.210,4,2,0.50,188.57,0.00
104.20.166.119,4,2,0.50,188.72,0.00
104.20.161.154,4,2,0.50,188.77,0.00
104.17.203.22,4,2,0.50,188.81,0.00
104.21.11.242,4,2,0.50,188.85,0.00
104.27.48.68,4,2,0.50,188.93,0.00
104.20.74.240,4,2,0.50,189.07,0.00
104.18.216.169,4,2,0.50,189.30,0.00
104.24.196.96,4,2,0.50,189.41,0.00
104.21.8.46,4,2,0.50,189.84,0.00
104.20.231.135,4,2,0.50,190.09,0.00
104.20.174.48,4,2,0.50,190.13,0.00
104.20.183.182,4,2,0.50,190.30,0.00
104.20.64.72,4,2,0.50,190.30,0.00
104.18.31.140,4,2,0.50,190.34,0.00
104.24.194.212,4,2,0.50,190.44,0.00
104.27.119.24,4,2,0.50,190.48,0.00
104.18.49.95,4,2,0.50,190.66,0.00
104.17.94.163,4,2,0.50,191.87,0.00
104.20.147.219,4,2,0.50,192.19,0.00
104.20.177.170,4,2,0.50,192.31,0.00
104.20.42.138,4,2,0.50,192.32,0.00
104.25.81.94,4,2,0.50,192.71,0.00
104.20.169.156,4,2,0.50,192.82,0.00
104.20.75.38,4,2,0.50,193.41,0.00
104.20.164.59,4,2,0.50,193.46,0.00
104.21.13.224,4,2,0.50,193.53,0.00
104.18.253.237,4,2,0.50,193.61,0.00
104.24.182.229,4,2,0.50,193.64,0.00
104.22.69.155,4,2,0.50,193.72,0.00
104.21.49.12,4,2,0.50,193.81,0.00
104.20.176.125,4,2,0.50,194.04,0.00
104.19.120.174,4,2,0.50,194.05,0.00
104.20.76.8,4,2,0.50,194.17,0.00
104.24.51.56,4,2,0.50,194.45,0.00
104.20.69.186,4,2,0.50,195.05,0.00
104.21.124.58,4,2,0.50,195.11,0.00
104.20.105.79,4,2,0.50,195.13,0.00
104.20.252.109,4,2,0.50,195.24,0.00
104.20.101.216,4,2,0.50,195.70,0.00
104.20.94.203,4,2,0.50,195.72,0.00
104.24.50.183,4,2,0.50,195.87,0.00
104.20.175.3,4,2,0.50,196.07,0.00
104.20.181.24,4,2,0.50,196.24,0.00
104.20.102.57,4,2,0.50,196.30,0.00
104.21.44.94,4,2,0.50,196.31,0.00
104.16.173.116,4,2,0.50,196.44,0.00
104.20.171.20,4,2,0.50,196.46,0.00
104.18.38.142,4,2,0.50,196.55,0.00
104.20.131.69,4,2,0.50,196.78,0.00
104.18.53.1,4,2,0.50,196.79,0.00
104.20.103.239,4,2,0.50,196.89,0.00
104.20.65.108,4,2,0.50,196.99,0.00
104.20.118.125,4,2,0.50,197.19,0.00
104.20.70.186,4,2,0.50,197.21,0.00
104.20.100.199,4,2,0.50,197.31,0.00
104.21.222.190,4,2,0.50,197.34,0.00
104.24.90.143,4,2,0.50,197.35,0.00
104.20.99.120,4,2,0.50,197.44,0.00
104.19.200.138,4,2,0.50,197.49,0.00
104.20.142.193,4,2,0.50,197.63,0.00
104.20.251.151,4,2,0.50,197.77,0.00
104.20.119.89,4,2,0.50,197.85,0.00
104.20.133.122,4,2,0.50,198.19,0.00
104.20.143.124,4,2,0.50,198.31,0.00
104.20.66.192,4,2,0.50,198.35,0.00
104.20.34.120,4,2,0.50,198.51,0.00
104.20.80.176,4,2,0.50,198.54,0.00
104.20.67.78,4,2,0.50,198.75,0.00
104.18.36.231,4,2,0.50,198.77,0.00
104.20.145.31,4,2,0.50,198.83,0.00
172.64.167.252,4,2,0.50,198.86,0.00
104.20.144.92,4,2,0.50,199.50,0.00
104.20.253.114,4,2,0.50,199.55,0.00
104.18.54.95,4,2,0.50,199.55,0.00
104.24.44.124,4,2,0.50,199.74,0.00
104.21.33.148,4,2,0.50,199.80,0.00
104.20.90.232,4,2,0.50,199.91,0.00
104.25.188.65,4,2,0.50,199.95,0.00
104.20.77.3,4,2,0.50,200.02,0.00
104.21.32.97,4,2,0.50,200.21,0.00
104.24.45.145,4,2,0.50,200.65,0.00
104.20.165.104,4,2,0.50,200.80,0.00
104.24.39.254,4,2,0.50,201.00,0.00
104.20.137.204,4,2,0.50,202.63,0.00
104.20.72.30,4,2,0.50,203.74,0.00
104.20.185.67,4,2,0.50,204.21,0.00
104.20.173.131,4,2,0.50,204.96,0.00
104.20.168.189,4,2,0.50,206.79,0.00
104.25.128.230,4,2,0.50,207.19,0.00
104.20.140.173,4,2,0.50,207.28,0.00
104.20.138.93,4,2,0.50,207.66,0.00
104.21.118.48,4,2,0.50,207.97,0.00
104.19.143.23,4,2,0.50,208.16,0.00
104.20.121.97,4,2,0.50,208.62,0.00
104.24.37.219,4,2,0.50,208.87,0.00
104.24.17.93,4,2,0.50,209.84,0.00
104.20.146.254,4,2,0.50,210.19,0.00
104.20.124.41,4,2,0.50,210.48,0.00
104.20.239.28,4,2,0.50,210.56,0.00
104.20.129.74,4,2,0.50,212.20,0.00
104.24.52.126,4,2,0.50,212.28,0.00
104.20.244.11,4,2,0.50,213.33,0.00
104.24.80.89,4,2,0.50,213.66,0.00
104.20.47.1,4,2,0.50,214.11,0.00
104.20.136.124,4,2,0.50,214.21,0.00
104.20.123.220,4,2,0.50,214.53,0.00
104.20.233.108,4,2,0.50,215.95,0.00
104.19.135.162,4,2,0.50,216.32,0.00
104.24.77.82,4,2,0.50,216.97,0.00
104.24.21.208,4,2,0.50,216.98,0.00
104.20.71.247,4,2,0.50,217.32,0.00
104.20.45.46,4,2,0.50,217.64,0.00
104.24.75.3,4,2,0.50,217.92,0.00
104.20.241.119,4,2,0.50,218.63,0.00
104.20.242.129,4,2,0.50,218.96,0.00
104.20.135.224,4,2,0.50,219.02,0.00
104.20.32.81,4,2,0.50,219.10,0.00
104.20.31.228,4,2,0.50,219.14,0.00
104.20.130.178,4,2,0.50,220.14,0.00
104.26.0.152,4,2,0.50,220.94,0.00
104.20.41.122,4,2,0.50,221.24,0.00
104.23.133.237,4,2,0.50,221.28,0.00
104.20.106.120,4,2,0.50,221.67,0.00
104.20.68.124,4,2,0.50,222.76,0.00
104.24.67.57,4,2,0.50,222.88,0.00
104.24.47.124,4,2,0.50,223.03,0.00
104.16.98.76,4,2,0.50,223.21,0.00
104.25.28.143,4,2,0.50,223.74,0.00
104.20.37.179,4,2,0.50,223.83,0.00
104.16.97.39,4,2,0.50,224.14,0.00
104.20.236.217,4,2,0.50,224.24,0.00
104.24.86.134,4,2,0.50,224.48,0.00
104.20.109.110,4,2,0.50,224.53,0.00
104.24.71.25,4,2,0.50,224.87,0.00
104.24.81.144,4,2,0.50,225.84,0.00
104.20.234.212,4,2,0.50,226.24,0.00
104.20.35.198,4,2,0.50,226.30,0.00
104.16.103.49,4,2,0.50,227.52,0.00
104.16.96.39,4,2,0.50,227.68,0.00
104.16.134.124,4,2,0.50,227.74,0.00
104.20.128.197,4,2,0.50,227.76,0.00
104.18.126.222,4,2,0.50,227.77,0.00
104.16.100.55,4,2,0.50,227.94,0.00
104.20.104.25,4,2,0.50,228.49,0.00
104.24.88.114,4,2,0.50,229.55,0.00
104.16.131.129,4,2,0.50,230.40,0.00
104.16.101.204,4,2,0.50,230.51,0.00
104.21.91.8,4,2,0.50,231.95,0.00
104.18.113.123,4,2,0.50,232.95,0.00
104.20.115.247,4,2,0.50,233.02,0.00
104.18.34.140,4,2,0.50,233.75,0.00
104.24.62.80,4,2,0.50,234.25,0.00
104.20.40.122,4,2,0.50,234.99,0.00
104.16.104.47,4,2,0.50,235.10,0.00
104.20.107.191,4,2,0.50,235.12,0.00
104.16.140.58,4,2,0.50,235.25,0.00
104.16.138.247,4,2,0.50,235.72,0.00
104.17.154.192,4,2,0.50,236.00,0.00
104.25.18.39,4,2,0.50,236.01,0.00
104.18.121.184,4,2,0.50,236.13,0.00
104.16.102.110,4,2,0.50,236.24,0.00
104.20.116.218,4,2,0.50,236.40,0.00
104.17.157.36,4,2,0.50,236.73,0.00
104.24.87.224,4,2,0.50,237.00,0.00
104.20.39.89,4,2,0.50,237.48,0.00
104.16.136.254,4,2,0.50,237.92,0.00
104.20.55.141,4,2,0.50,238.24,0.00
104.20.48.207,4,2,0.50,238.55,0.00
104.25.121.247,4,2,0.50,238.71,0.00
162.159.138.161,4,2,0.50,238.73,0.00
104.19.227.60,4,2,0.50,238.95,0.00
104.20.54.23,4,2,0.50,239.53,0.00
104.20.52.16,4,2,0.50,239.56,0.00
104.20.111.102,4,2,0.50,240.32,0.00
104.20.61.188,4,2,0.50,241.40,0.00
104.20.33.219,4,2,0.50,241.87,0.00
104.19.146.99,4,2,0.50,247.20,0.00
104.20.57.187,4,2,0.50,249.70,0.00
104.20.17.141,4,2,0.50,250.64,0.00
104.20.63.171,4,2,0.50,251.21,0.00
104.23.125.187,4,2,0.50,258.24,0.00
104.16.137.32,4,2,0.50,259.92,0.00
104.20.13.182,4,2,0.50,260.65,0.00
104.19.141.128,4,2,0.50,263.07,0.00
104.25.13.39,4,2,0.50,263.65,0.00
104.25.12.110,4,2,0.50,265.04,0.00
104.20.30.113,4,2,0.50,266.10,0.00
104.25.135.136,4,2,0.50,273.99,0.00
104.25.233.78,4,2,0.50,277.18,0.00
104.20.29.193,4,2,0.50,278.03,0.00
104.19.140.4,4,2,0.50,279.95,0.00
104.20.11.61,4,2,0.50,281.79,0.00
104.25.92.221,4,2,0.50,283.67,0.00
104.25.108.30,4,2,0.50,283.78,0.00
104.19.137.222,4,2,0.50,284.75,0.00
104.20.28.205,4,2,0.50,285.09,0.00
104.25.99.230,4,2,0.50,286.19,0.00
104.25.224.118,4,2,0.50,298.36,0.00
104.20.27.107,4,2,0.50,300.31,0.00
104.20.26.115,4,2,0.50,300.40,0.00
104.25.102.196,4,2,0.50,301.35,0.00
104.25.105.69,4,2,0.50,304.00,0.00
104.19.138.127,4,2,0.50,306.26,0.00
104.20.25.250,4,2,0.50,311.64,0.00
104.16.111.53,4,2,0.50,312.45,0.00
104.25.208.75,4,2,0.50,318.31,0.00
104.20.21.167,4,2,0.50,322.78,0.00
104.20.23.218,4,2,0.50,329.22,0.00
104.20.22.165,4,2,0.50,348.82,0.00
